department_id,number_of_orders,number_of_first_orders,percentage
1,570255,168116,0.29
2,125821,28175,0.22
3,228440,66539,0.29
4,670477,202924,0.30
5,139367,33642,0.24
6,184836,58502,0.32
7,860550,212551,0.25
8,139801,36976,0.26
9,301320,94574,0.31
10,9217,2945,0.32
11,1156544,308773,0.27
12,196862,52658,0.27
13,865013,277921,0.32
14,160108,48543,0.30
15,294562,95760,0.33
16,706365,190245,0.27
17,452267,129703,0.29
18,168204,43347,0.26
19,1120996,290313,0.26
20,226850,65294,0.29
21,265952,69497,0.26
